Generated at : 19/06/25 15:59:26
Account : PU6VS
Start date : 21/03/25 15:59
End date : 19/06/25 15:59



Closing Ref,Closed,Opening Ref,Opened,Market,Period,Direction,Size,Opening,Closing,Trade Ccy.,P/L,Funding,Borrowing,Dividends,LR Prem.,Others,Comm. Ccy.,Comm.,Total
OPEN,-,NUY8NLBB,02-06-2025 22:53:33,Tesla Motors Inc (All Sessions),DFB,BUY,0,34298.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
PDU9WGA4,05-06-2025 15:20:39,NUY8NLBB,02-06-2025 22:53:33,Tesla Motors Inc (All Sessions),DFB,BUY,0.06,34298.0,31757.0,GBP,-152.46,-1.24,0.00,0.00,0.00,0.00,-,0.00,-153.70
OPEN,-,NZMPKKAL,03-06-2025 16:17:04,Celsius Holdings Inc (All Sessions),DFB,BUY,0,3892.9,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
PQZMJ4AB,09-06-2025 09:26:34,NZMPKKAL,03-06-2025 16:17:04,Celsius Holdings Inc (All Sessions),DFB,BUY,0.1,3892.9,4066.0,GBP,17.31,-0.48,0.00,0.00,0.00,0.00,-,0.00,16.83
PYPNYKAM,10-06-2025 15:23:21,NZMPKKAL,03-06-2025 16:17:04,Celsius Holdings Inc (All Sessions),DFB,BUY,0.05,3892.9,4313.0,GBP,21.01,-0.29,0.00,0.00,0.00,0.00,-,0.00,20.72
P9EDNUA2,11-06-2025 21:12:05,NZMPKKAL,03-06-2025 16:17:04,Celsius Holdings Inc (All Sessions),DFB,BUY,0.05,3892.9,4183.0,GBP,14.51,-0.33,0.00,0.00,0.00,0.00,-,0.00,14.18
OPEN,-,NZUMNWAP,03-06-2025 16:43:53,Palantir Technologies Inc (All Sessions),DFB,BUY,0,13169.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
PFWMBNAM,05-06-2025 19:26:32,NZUMNWAP,03-06-2025 16:43:53,Palantir Technologies Inc (All Sessions),DFB,BUY,0.05,13169.0,12256.0,GBP,-45.65,-0.27,0.00,0.00,0.00,0.00,-,0.00,-45.92
OPEN,-,NZTZNFAE,03-06-2025 16:45:38,Robinhood Markets Inc (All Sessions),DFB,BUY,0,7158.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
PT7SV8AC,09-06-2025 19:55:24,NZTZNFAE,03-06-2025 16:45:38,Robinhood Markets Inc (All Sessions),DFB,BUY,0.06,7158.0,7082.0,GBP,-4.56,-0.54,0.00,0.00,0.00,0.00,-,0.00,-5.10
OPEN,-,PAZ7B4AY,05-06-2025 09:11:54,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0,11918.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
PGKVDKAL,05-06-2025 20:56:25,PAZ7B4AY,05-06-2025 09:11:54,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0.07,11918.0,11598.0,GBP,-22.40,0.00,0.00,0.00,0.00,0.00,-,0.00,-22.40
OPEN,-,PUF7DNAH,09-06-2025 21:02:54,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0,12174.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
QF3Y2HAN,12-06-2025 21:00:50,PUF7DNAH,09-06-2025 21:02:54,Advanced Micro Devices Inc (All Sessions),DFB,BUY,0.04,12174.0,11846.0,GBP,-13.12,-0.30,0.00,0.00,0.00,0.00,-,0.00,-13.42
OPEN,-,PUGU7NAF,09-06-2025 21:05:19,ARM Holdings PLC - ADR (All Sessions),DFB,BUY,0,13864.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
QKVEN5A2,13-06-2025 09:48:51,PUGU7NAF,09-06-2025 21:05:19,ARM Holdings PLC - ADR (All Sessions),DFB,BUY,0.06,13864.0,13606.0,GBP,-15.48,-0.68,0.00,0.00,0.00,0.00,-,0.00,-16.16
OPEN,-,PUGC3LAB,09-06-2025 21:09:42,Boeing Co (All Sessions),DFB,BUY,0,21779.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
P9DSARAT,11-06-2025 21:04:24,PUGC3LAB,09-06-2025 21:09:42,Boeing Co (All Sessions),DFB,BUY,0.03,21779.0,21376.0,GBP,-12.09,-0.26,0.00,0.00,0.00,0.00,-,0.00,-12.35
OPEN,-,PUG8GXBB,09-06-2025 21:12:41,CleanSpark Inc (All Sessions),DFB,BUY,0,1011.5,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
QCR6HEBA,12-06-2025 12:12:21,PUG8GXBB,09-06-2025 21:12:41,CleanSpark Inc (All Sessions),DFB,BUY,0.3,1011.5,968.5,GBP,-12.90,-0.18,0.00,0.00,0.00,0.00,-,0.00,-13.08
OPEN,-,PWMLVVA7,10-06-2025 09:01:23,MicroStrategy Inc (All Sessions),DFB,BUY,0,39474.0,0.0,GBP,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
QCSKHPA3,12-06-2025 12:11:59,PWMLVVA7,10-06-2025 09:01:23,MicroStrategy Inc (All Sessions),DFB,BUY,0.02,39474.0,37977.0,GBP,-29.94,-0.32,0.00,0.00,0.00,0.00,-,0.00,-30.26
